Fecha Entrada,Fecha Salida,Tipo,Precio Entrada,Precio Salida,P&L ($),P&L (%),Capital Final,Exit Reason
2025-04-22,2025-05-09,LONG,93404.9,102941.9,-2801.527623483714,-56.03055246967428,2198.472376516286,UNKNOWN
2025-11-14,2025-11-21,SHORT,94544.9,85093.5,502.7666834886104,22.868910651736172,2701.2390600048966,TRAILING_STOP
2026-01-02,2026-01-08,LONG,89951.4,91059.8,-1772.9416163804624,-65.63438396219729,928.2974436244342,STOP_LOSS
2026-01-13,2026-01-15,LONG,95375.2,95150.0,-27.175386232744813,-2.92744382949516,901.1220573916894,END_OF_PERIOD
